Sample,Screen,pulp_wt _g,Au_ppm,Ba_ppm,Ce_ppm,Cr_ppm,Cs_ppm,Dy_ppm,Er_ppm,Eu_ppm,Ga_ppm,Gd_ppm,Hf_ppm,Ho_ppm,La_ppm,Lu_ppm,Nb_ppm,Nd_ppm,Pr_ppm,Rb_ppm,Sc_ppm,Sm_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Tb_ppm,Th_ppm,Ti_percentage,Tm_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Yb_ppm,Zr_ppm,Ag_ppm,Al_percentage,As_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_percentage,Cd_ppm,Ce_ppm,Co_ppm,Cr_ppm,Cs_ppm,Cu_ppm,Fe_percentage,Ga_ppm,Ge_ppm,Hf_ppm,In_ppm,K_percentage,La_ppm,Li_ppm,Mg_percentage,Mn_ppm,Mo_ppm,Na_percentage,Nb_ppm,Ni_ppm,P_ppm,Pb_ppm,Rb_ppm,Re_ppm,S_percentage,Sb_ppm,Sc_ppm,Se_ppm,Sn_ppm,Sr_ppm,Ta_ppm,Te_ppm,Th_ppm,Ti_percentage,Tl_ppm,U_ppm,V_ppm,W_ppm,Y_ppm,Zn_ppm,Zr_ppm,Al2O3_percentage,BaO_percentage,CaO_percentage,Cr2O3_percentage,Fe2O3_percentage,K2O_percentage,MgO_percentage,MnO_percentage,Na2O_percentage,P2O5_percentage,SO3_percentage,SiO2_percentage,SrO_percentage,TiO2_percentage,Total_percentage,LOI_percentage,Th_ppm,Zr_ppm
Sample 3,2.36x1.7mm,100,0.01,335,21.4,11,0.57,1.2,0.77,0.32,3.8,1.09,1.48,0.24,7.6,0.08,0.84,6.6,1.83,37,1,1.26,0.7,69.8,0.1,0.19,2.77,0.03,0.1,0.69,13,0.5,7.3,0.75,53,0.01,2,3.1,310,0.66,0.08,0.27,0.02,19.7,1.4,8,0.59,3.4,0.7,3.53,0.05,0.8,0.005,1.01,8.8,4.6,0.02,44,0.41,0.52,0.7,2.6,80,15.6,37.1,0.002,0.01,0.12,0.6,1,0.3,68.1,0.06,0.05,2.95,0.02,0.2,0.6,10,0.2,2.5,5,21.9,3.76,0.03,0.36,0.01,0.97,1.19,0.04,0.01,0.68,0.02,0.01,92.32,0.01,0.03,99.71,0.29,,
Sample 3,1.7x1.18mm,100,0.01,295,13.9,11,0.57,1.66,1.26,0.31,3.4,1.18,1.94,0.34,6.5,0.16,0.59,6.3,1.67,35.7,1.6,1.27,0.8,66.5,0.1,0.22,2.6,0.02,0.2,0.56,11,0.5,11.2,1.15,77,0.01,1.93,2.3,300,0.68,0.04,0.25,0.02,19.6,1.2,8,0.59,2.5,0.59,3.45,0.05,0.5,0.005,0.96,9.7,4.1,0.02,50,0.28,0.49,0.7,2.2,70,13.4,36.4,0.002,0.01,0.09,0.9,1,0.2,63.6,0.06,0.05,3.36,0.019,0.18,0.4,8,0.2,3,5,16.5,3.62,0.03,0.33,0.01,0.81,1.13,0.04,0.01,0.65,0.02,0.01,92.67,0.01,0.03,99.69,0.33,,
Sample 3,1.18mmx850um,107,0.01,282,16.7,10,0.63,0.97,0.82,0.3,3.4,1.14,1.58,0.24,8.2,0.12,0.58,6.9,1.98,35,2.4,1.52,1,65.5,0.1,0.18,3.34,0.02,0.12,0.54,13,0.5,6.9,0.85,53,0.01,1.84,1.7,260,0.56,0.04,0.26,0.02,23.3,1,8,0.61,2.3,0.55,3.14,0.06,0.4,0.005,0.9,11.8,3.9,0.03,80,0.25,0.46,1.1,2.1,70,12,35.8,0.002,0.01,0.1,1.4,1,0.2,59.3,0.08,0.05,3.71,0.025,0.18,0.4,8,0.2,5,5,15,3.57,0.03,0.34,0.01,0.77,1.11,0.06,0.01,0.63,0.01,0.01,93.41,0.01,0.04,100.35,0.37,,
Sample 3,850x600um,103,0.01,259,12.2,16,0.63,3.18,3.24,0.33,3.9,1.4,1.8,0.88,6.1,0.63,1.7,5.2,1.44,33.7,8.5,1.14,0.9,61.5,0.1,0.33,2.12,0.06,0.53,0.45,15,0.5,24.8,3.61,64,0.01,2.05,1.5,260,0.55,0.04,0.3,0.02,16.9,1.5,11,0.68,2.5,0.92,3.32,0.05,0.4,0.009,0.87,8,3.8,0.07,286,0.32,0.46,2.1,2.5,60,11.9,36.2,0.002,0.01,0.08,4.5,1,0.3,60.6,0.13,0.05,2.67,0.058,0.18,0.4,9,0.3,13.5,7,13.4,3.91,0.03,0.4,0.01,1.3,1.02,0.14,0.03,0.63,0.02,0.01,92.14,0.01,0.09,99.98,0.25,,
Sample 3,600x425um,100,0.01,249,36.6,28,0.71,5.42,5.01,0.31,4.7,2.81,1.7,1.34,17.4,0.75,8.23,16.3,4.19,32.5,13.9,2.8,0.9,59.7,0.6,0.59,7.04,0.33,0.75,0.72,27,0.5,40.5,5.24,69,0.02,2.4,1.4,240,0.65,0.06,0.36,0.05,24,2.6,18,0.72,2.9,1.87,3.92,0.07,0.4,0.014,0.8,11.4,3.9,0.16,792,0.25,0.44,5.9,3.1,70,11.6,33.6,0.002,0.01,0.13,10.8,1,0.3,56.8,0.4,0.05,4.18,0.259,0.17,0.4,18,0.3,32.1,13,13.7,4.95,0.03,0.51,0.01,2.83,0.96,0.33,0.1,0.61,0.02,0.01,89.12,0.01,0.45,100.25,0.33,,
Sample 3,425x300um,99,0.01,230,141,50,0.75,8.85,6.97,0.49,5.7,8.2,3.37,1.99,65.9,1.09,20.2,61.6,16.35,29.5,16.8,10.55,1,52.9,1.3,1.18,27,0.98,1.03,1.95,47,0.8,56.9,7.37,126,0.03,2.57,1.4,220,0.64,0.09,0.42,0.06,133,4.2,26,0.73,3.6,3.03,4.41,0.14,0.5,0.022,0.7,63,4.5,0.24,1400,0.25,0.39,23.1,4.2,130,13.2,28.8,0.002,0.01,0.17,16.1,1,0.4,50.2,1.58,0.05,23.6,0.964,0.15,1.6,34,0.8,46.3,26,16.5,5.66,0.03,0.58,0.01,4.42,0.85,0.47,0.19,0.53,0.04,0.01,85.48,0.01,1.59,100.1,0.19,,
Sample 3,300x212um,101,0.06,218,2150,71,1.12,54.5,22.9,4.08,7,103,67.8,8.76,1020,2.76,65.9,930,247,31.5,22.7,157,10.3,48,5,11.25,395,2.94,2.99,27.8,88,3.1,252,18.4,2670,0.05,2.64,4.3,210,0.78,0.23,0.42,0.06,2390,7.2,37,1.09,7.5,4.66,5.2,1.97,2.4,0.017,0.67,990,6.2,0.27,2070,0.35,0.37,57.4,5.7,1270,43.5,31.1,0.004,0.01,0.3,17.6,1,0.7,57,4.18,0.05,500,2.61,0.17,25.1,61,1.9,153,66,80.5,6.16,0.02,0.59,0.01,6.41,0.82,0.53,0.25,0.52,0.29,0.01,78.33,0.01,4.49,99.04,0.28,,
Sample 3,212x106um,100,0.01,205,6710,71,1.4,158.5,59,12.5,6.5,322,146.5,24.9,3260,6.26,109,2880,782,35.6,23.5,489,56.4,45.3,7.2,35.7,1000,5.14,7.5,91,124,4.7,669,39.3,5540,0.06,2.58,10,200,0.79,0.42,0.42,0.05,5780,11.5,50,1.39,12.4,6.32,18.2,4.67,4.9,0.03,0.69,2430,7.8,0.29,2720,0.35,0.35,83.7,7.4,3150,95.9,35.8,0.008,0.01,0.51,17.6,1,1,79.8,4.3,0.05,1100,4.72,0.17,66.9,80,2.4,334,116,154,6.02,0.02,0.6,0.01,8.74,0.82,0.56,0.33,0.52,0.86,0.01,69.47,0.01,8.05,97.16,0.46,1315,
Sample 3,106x75um,100,0.01,261,6010,70,2.62,165,65.2,13.85,7.3,297,476,26.2,2970,7.83,67.4,2550,694,52.5,22.3,439,1.6,53.3,5,34.8,1000,3.08,8.36,103.5,78,6,734,50.4,10000,0.05,2.95,12.4,240,1,0.41,0.36,0.03,7340,8.6,38,2.51,13.6,3.64,23.9,5.85,14.8,0.021,0.93,3020,10.8,0.21,1410,0.27,0.54,39.5,8.7,2380,110.5,55.2,0.012,0.01,0.47,9.1,1,0.8,102.5,3.14,0.05,1350,2.42,0.28,89.1,58,2.9,394,109,467,5.7,0.02,0.48,0.01,4.89,1.04,0.41,0.16,0.78,0.89,0.01,74.61,0.01,5.08,99.65,0.71,1170,19750
Sample 3,75x53um,105,0.17,262,3420,50,2.93,110,48.7,9.77,8.3,179.5,434,18.6,1685,7.24,44.2,1445,395,55.7,14.2,257,62.1,58.5,7,22,646,1.72,6.89,70.6,55,14.2,519,43.1,10000,0.36,3.21,8.5,250,1.19,0.4,0.36,0.03,3840,6.6,29,2.86,12.1,2.25,16.4,3.24,18.3,0.036,0.98,1660,11.8,0.21,745,0.32,0.62,12,9.3,1460,62.2,58.9,0.006,0.01,0.32,7.4,1,3.9,76,0.66,0.05,750,1.37,0.31,53,45,2.5,245,93,500,6.28,0.03,0.48,0.01,2.94,1.13,0.4,0.09,0.89,0.47,0.02,79.72,0.01,2.63,98.56,1.44,,17550
